Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	
Tsavong's Proclamation	VP	VP050_Tsavong_s_Proclamation	Y	Mission		X				R	50		Your opponent may pay X Force and tap one of his or her Jedi to disrupt Tsavong's Proclamation. | Search your opponent's deck and hand for up to X Jedi unit cards and discard them. Your opponent shuffles his or her deck.	
Tu-Scart (A)	VP	VP051_Tu_Scart_A	Y	Ground	Yuuzhan Vong Creature	12	30	9	9	R	51		Tu-Scart can attack Multi-arena units in any arena. | Damage from Tu-Scart can't be prevented. | As long as Sgauru is in the Ground arena, Tu-Scart gets Armor and Overkill	
Vergere (A)	VP	VP052_Vergere_A	N	Character	Fosk Force Sensitive	6	30	3	6	R	52		When you deploy Vergere, you may put 2 captivity counters on her. If you do, draw a card. | When your build step starts, you may choose a Character. If you do, gain X Force, where X is the number of captivity counters on that Character.	
Vergere's Tears (A)	VP	VP053_Vergere_s_Tears_A	N	Equipment	Character - Biological Defense 	2				R	53		Pay 2 Force -> Equip | Equipped Character gets "When your build step starts, you may detach Vergere's Tears from this unit. If you do, choose one: Detach a Biological Weapon from a unit in the Character arena. Or:  Remove up to 2 counters of any type from one of your non-Droids in the Character arena."	
Viscount (A)	VP	VP054_Viscount_A	L	Space	New Republic Capital Ship - Flagship	13	20	10	10	R	54		Shields 2 | Discard the top card of your deck -> Viscount gets Critical Hit 2 for this attack. | Pay 1 Force -> Viscount gets Overkill for this attack. | Pay 3 Force -> Take 1 60/2/2 T-65XJ X-Wing Subordinate with "Accuracy 1" and "Shields 2" and put it into the Space or Ground arena.	
Worthy Sacrifice	VP	VP055_Worthy_Sacrifice	N	Mission		6				R	55		To complete Worthy Sacrifice, you must also discard any number of your units with combined total build cost 8 or more from any arena and remove them from the game. Shuffle your discard pile into your deck.	
Yammosk	VP	VP056_Yammosk	Y	Equipment	Space - Biological Device	3				R	56		Pay 1 build point -> Equip | Equipped Capital Ship or Fleet gets "Each of your Yuuzhan Vong Space units gets +10 speed, +1 power, Critical Hit 1, and Precision"	
Yammosk Tank	VP	VP057_Yammosk_Tank	Y	Location	Character - Yuuzhan Vong Prison	4				R	57		Treat this location as if it has 6 health and when this Location has no remaining health, discard this Location. This Location can't be replaced. | During the Character battle step, units can attack this Location as if it were a unit. | When the battle phase starts, you may tap one of your units with printed build cost X. If you do, take a Character with printed build cost X or less and put it beneath this Location.  | When this Location is discarded, return each unit beneath it to the Character arena tapped.	
Yun-Yammka	VP	VP058_Yun_Yammka	Y	Resource		3				R	58		Whenever you would gain, lose or pay Force, add or remove counters from this Resource instead. | Add 1 counter -> This turn, whenever damage from one of your Yuuzhan Vong causes a unit to be discarded, remove the discarded unit from the game. | Remove 5 counters -> Each of your Yuuzhan Vong gets +2 power until end of turn.	
Yun - Yuuzhan	VP	VP059_Yun_Yuuzhan	Y	Resource		3				R	59		Whenever you would gain, lose or pay Force, add or remove counters from this Resource instead. | Add 1 counter -> Draw a card. Play only during your build step. | Remove 5 counters -> Put 2 build counters on one of your partially built cards.	
Yuuzhan Vong Army	VP	VP060_Yuuzhan_Vong_Army	Y	Ground/Character	Yuuzhan Vong Army	14	30	10	10	R	60		Fury 3 | Armor | Overkill	
Agents of Chaos	VP	VP061_Agents_of_Chaos	N	Mission - Trap		2				U	61		When one of your Agents is attacked by one of your opponent's units, the attack ends unless your opponent puts  1 damage counter on the attacking unit, reveals his or her hand, and discards a card at random from his or her hand.	
Arbeloa (A)	VP	VP062_Arbeloa_A	N	Character	Cilare Warrior - Independent Officer	7	40	6	6	U	62		When you deploy Arbeloa, you may choose one of your opponent's Yuuzhan Vong. If you do, the chosen Yuuzhan Vong can't attack this turn. | As long as Arbeloa has an Equipment attached, he gets +2 power and Critical hit 2.	
Arbeloa (B)	VP	VP063_Arbeloa_B	N	Character	Cilare Warrior - Independent Officer	6	40	5	6	U	63		INSERT: Whenever damage from Arbeloa causes a Yuuzhan Vong to be discarded, you may put that Yuuzhan Vong face-down beneath Arbeloa. | INSERT:  Arbeloa gets +10 speed, +1 power, and +1 health for each face-down card beneath him.	
A-vek Liluunu-Class Carrier	VP	VP064_A_vek_Iiluunu_Class_Carrier	Y	Space	Yuuzhan Vong Capital Ship	9	20	4	5	U	64		When you deploy this unit, take 2 50/3/2 Coralskipper Subordinates with "Shields 1" and put them into the Space arena. |Tap, Pay 2 build points -> Take 1 50/3/2 Coralskipper Subordinate with "Shields 1" and put it into the Space arena.	
Bafforr Tree Grove	VP	VP065_Bafforr_Tree_Grove	L	Location	Ground/Character - Forest Landscape	2				U	65		When the battle phase starts, put 1 damage counter on each Yuuzhan Vong in this arena. | Each of your opponent's units in this arena loses Damage Control.	
Bait the Trap	VP	VP066_Bait_the_Trap	L	Mission - Trap		2				U	66		When one of your opponent's Traps would be completed, disrupt that Trap.	
Balance Point	VP	VP067_Balance_Point	N	Event						U	67		When each turn ends, if a player controls an arena, he or she gains 1 build point next turn and may draw a card. If neither player controls an arena, each player gains 1 build point next turn and may draw a card.	
Biter and Beater	VP	VP068_Biter_and_Beater	Y	Equipment	Ground/Character - Skill	2				U	68		Pay 2 build points -> Equip | Equipped Creature gets Avenge 4 (Whenever damage from an attacking unit causes one of your other units in the same arena as this unit to be discarded, this unit may do 4 dice of damage to the attacking unit when the attack ends.) and "Pay 0 Force -> Retaliate 2"	
Booby Trap	VP	VP069_Booby_Trap	N	Mission - Trap		1				U	69		When one of your Subordinates in the Space arena is attacked by one of your opponent's Capital Ships, Fleets, or Transports, put X damage counters on the attacking unit, where X is that Subordinate's printed power. Then return that Subordinate to your supply.	
Cianba (A)	VP	VP070_Cianba_A	N	Character	Feline Journalist	6	30	4	5	U	70		Whenever one of your Refugees would be discarded from any arena, you may remove it from the game instead. If you do, reveal a partially built Refugee unit card in your build zone to your opponent and put 1 build counter on it. | Each of your Refugees with speed 40 or higher gets Stealth.	
Coomb Spores	VP	VP071_Coomb_Spores	Y	Equipment	Character - Biological Weapon	2				U	71		You can equip Coomb Spores to your opponent's non-Droid Characters. | Pay 2 build points -> Equip | Equipped Character gets "Upkeep: Put 1 damage counter on this unit." and "Pay 5 Force -> Detach Coomb Spores from this unit and remove it from the game."	
Cycling the Shots	VP	VP072_Cycling_the_Shots	L	Battle						U	72		Pay 2 Force -> One of your Space units gets +2 power and Accuracy 1 for this attack. | Enhance: Pay 1 more Force -> the defending unit loses Shields for this attack.	
Daeshara'cor (A)	VP	VP073_Daeshara_cor_A	L	Character	Twi'lek New Republic Jedi Knight	4	60	3	3	U	73		Each unit in the Ground and Character arena loses Avenge and can't use Retaliate. | Pay 3 Force -> Evade 2 | Pay 0 Force -> Intercept	
Droma (A)	VP	VP074_Droma_A	L	Character	Ryn Agent - Independent Refugee	4	30	4	4	U	74		Damage Control 1 | Discard a card from your hand -> Prevent up to 3 damage to Han Solo. | Tap Han Solo  -> Prevent up to 3 damage to Droma.	
Dulac (A)	VP	VP075_Dulac_A	Y	Character	Yuuzhan Vong Agent	6	40	4	4	U	75		Dulac can't retreat. | When you deploy Dulac, you may discard 2 cards from your hand.  If you do, your opponent gains control of Dulac until end of game. | When Dulac is discarded from the Character arena, your opponent gains 2 build points next turn and may remove 1 damage counter from each of his or her damaged units. 	
Dweebits	VP	VP076_Dweebits	Y	Equipment	Character - Biological Weapon	0				U	76		Pay 1 build point -> Equip | Equipped Yuuzhan Vong gets "When the Character battle step starts, you may put 1 corruption counter on a Location in any arena." and "When your build step starts, you may discard one of your opponent's Locations with 2 or more corruption counters on it from any arena. You may also search your deck for a Location card with build cost equal to or less than the discarded Location and put it into the same arena. Shuffle your deck."	
First Strike	VP	VP077_First_Strike	L	Battle						U	77		Pay 5 Force -> Choose an arena. Your units in the chosen arena can attack first this turn, regardless of their speed, unless your opponent taps 2 of his or her units in the chosen arena.	
Flying Catch	VP	VP078_Flying_Catch	N	Battle						U	78		Pay 3 Force -> Choose one of your Starfighters and one of your Transports in the Space arena. The chosen Starfighter gets the same abilities as the chosen Transport, in addition to its own, until end of turn.	
Go with Glory and Victory	VP	VP079_Go_With_Glory_and_Victory	Y	Battle						U	79		Discard one of your Yuuzhan Vong with printed power X from any arena -> Do X dice of damage to one of your opponent's units in the same arena.	
Heart of  Artorias (A)	VP	VP080_Heart_of_Artorias_A	L	Space	Independent Yuuzhan Vong Refugee Transport	6	50	4	6	U	80		Heart of Artorias gets +2 power when attacking a Yuuzhan Vong. | Bombard 4 | Discard a card from your hand -> Remove up to 3 captivity counters from one of your units.	
Helska System	VP	VP081_Helska_System	Y	Location	Space - Star System	2				U	81		Each of your Yuuzhan Vong Space units cost 1 less build counter to deploy.	
In Her Element	VP	VP082_In_Her_Element	L	Battle						U	82		Pay 1 Force, discard a card from your hand -> One of your Space units piloted by a Jedi gets +10 speed, +1 power, and "Pay 1 Force -> Evade 3" until end of turn. | Pay 2 Force -> Meditate.	
Invasion Armada	VP	VP083_Invasion_Armada	Y	Space	Yuuzhan Vong Fleet	11	10	8	8	U	83		Hidden Cost 3 | When you deploy this unit, you may put 1 captivity counter on each Refugee in any arena. | When your build step starts, you may remove 2 counter from your Resource. If you do, search your deck for Yuuzhan Vong unit card, show it to your opponent, and put it into your build zone with 1 build counter on it. Shuffle your deck.	
Jade Sabre (A)	VP	VP084_Jade_Sabre_A	L	Space	New Republic Jedi Transport	7	50	5	5	U	84		Armor | Shields 1 | Pay 1 Force -> Retaliate 2	
Jedi Academy Transport	VP	VP085_Jedi_Academy_Transport	L	Space	New Republic Jedi Transport	6	20	2	4	U	85		When you deploy this unit, you may choose one of your Characters. If you do, the chosen Character gets "Treat this unit as a Jedi." and "Pay 1 Force -> Evade 1" until end of game. | Reserves: Tap -> Gain 2 Force. Play only when a Yuuzhan Vong is attacking.	
Jedi Knight's Lightsaber	VP	VP086_Jedi_Knight_s_Lightsaber	L	Equipment	Ground/Character - Lightsaber Weapon	0				U	86		Pay 2 Force -> Equip | Equipped Jedi gets Precision and "Whenever one of your units in this arena would be damaged by a Yuuzhan Vong, prevent 1 of that damage."	
Jeedai Blood	VP	VP087_Jeedai_Blood	Y	Battle						U	87		Remove 2 cards from your discard pile from the game -> One of your units gets Fury 3 when attacking a Jedi until end of turn.	
Kaye Gilfridian (B)	VP	VP088_Kaye_Galfridian_B	L	Character	Independent Force Sensitive Officer	5	50	4	4	U	88		Whenever Kaye attacks a Yuuzhan Vong and does no damage (after damage prevention), untap Kaye.	
Kaye's Strike Team (A)	VP	VP089_Kaye_s_Strike_Team_A	L	Ground/Character	Independent Squad	7	40	6	6	U	89		Hidden Cost 4 | Accuracy 1 | INSERT: As long as Kaye Gilfridian is in any arena or your build zone, Kaye's Strike Team gets +20 speed, +2 power, and +2 health.	
Lar Le'Ung (A)	VP	VP090_Lar_Le_Ung_A	L	Character	Pau'an New Republic Jedi Master	7	30	4	4	U	90		Lar can't use Evade to prevent damage from a Yuuzhan Vong. | Luke Skywalker can't be attacked. | When Lar is discarded from the Character arena, you may search your deck for a Mission card. If you do, show it to your opponent and put it into your hand. Shuffle your deck. | Pay 1 Force -> Evade 3	
Legacy of Torment (A)	VP	VP091_Legacy_of_Torment_A	Y	Space	Yuuzhan Vong Station - Capital Ship - Flagship	12	20	11	11	U	91		Shields 1 | Bombard 11 | Overkill	
Life Debt	VP	VP092_Life_Debt	L	Equipment	Character - Skill	1				U	92		Pay 2 build points -> Equip | Equipped Character gets Lucky 2 and "Put X damage counters on this unit -> Prevent up to X damage to one of your other Characters." | Equipped Chewbacca or Han Solo also gets Damage Control 2.	
Like Mother, Like Daughter	VP	VP093_Like_Mother_Like_Daughter	N	Mission		2				U	93		Choose two of your Characters. Each Character gets the activated abilities and subtype of the other Character, in addition to its own, until end of turn.	
Miid ro'ik-Class Cruiser	VP	VP094_Miid_ro_ik_Class_Cruiser	Y	Space	Yuuzhan Vong Capital Ship - Cruiser	7	30	6	7	U	94		Shields 1 | Your opponent's Space units can't retreat. | When this unit is discarded from the Space arena, you may remove it from the game. If you do, search your deck and/or discard pile for a Space unit card, show it to your opponent, and put it into your hand. Shuffle your deck.	
Millennium Falcon (U)	VP	VP095_Millennium_Falcon_U	L	Space/Ground	New Republic Transport	6	40	4	5	U	95		The Millennium Falcon can have an extra Pilot. | Lucky 1 | Shields 1 | Pay 3 Force -> Do 3 damage to a Yuuzhan Vong Space unit. Play only when no unit is attacking.	
New Republic Guard Captain	VP	VP096_New_Republic_Guard_Captain	L	Character	Twi'lek New Republic Officer 	4	50	4	3	U	96		Treat this unit as a Bodyguard. | Precision | Tap, Pay 3 Force -> Take 1 30/3/3 New Republic Guard Subordinate with "Pay 0 Force -> Intercept" and put it into the Character arena. Play only during the Character battle step.	
No Mercy	VP	VP097_No_Mercy	Y	Battle						U	97		Choose one: Discard 3 cards from your hand -> One of your Yuuzhan Vong gets Double Damage for this attack. | Or:  Remove 5 cards from your discard pile from the game -> One of your Yuuzhan Vong gets Double Strike until end of turn.	
Nom Anor (B)	VP	VP098_Nom_Anor_B	Y	Character	Yuuzhan Vong Officer - Agent - Diplomat	5	50	4	5	U	98		Upkeep: Pay 1 build point or Tap Nom. | Damage Control 3| Each of your opponent's Jedi can't use Intercept or Retaliate. | Tap -> Your Traps can't be disrupted this turn. Play only during your build step.	
Nom Anor (C)	VP	VP099_Nom_Anor_C	Y	Character	Yuuzhan Vong Officer - Agent	6	60	4	5	U	99		As long as Nom has an Equipment attached, he gets +1 power. | As long as Nom has 2 or more Equipment attached, he gets Double Damage.	
Outer Rim Alliance	VP	VP100_Outer_Rim_Alliance	N	Resource		2				U	100		Add 1 counter -> Each of your opponent's non-Independent units gets -1 power when attacking an Independent unit until end of turn. | Remove 4 counters -> Each of your Independent units gets +2 power until end of turn.	
Outer Rim Alliance Fleet (B)	VP	VP101_Outer_Rim_Alliance_Fleet_B	L	Space	Independent Fleet	9	20	7	9	U	101		Whenever your opponent deploys a Yuuzhan Vong, you may choose one: Put 1 damage counter on Outer Rim Alliance Fleet and draw a card. Or: Tap -> Take 1 60/2/1 X-ceptor Subordinate and put it into the Space arena. | Bombard 8	
Overwhelming Firepower	VP	VP102_Overwhelming_Firepower	N	Battle						U	102		Pay 3 Force -> Choose an arena. Each of your units in the chosen arena gets +2 power and Overkill until end of turn. Play only if you have more units in the chosen arena than your opponent. | Pay 4 Force -> Meditate	
